
GARES	1501	1505	1509	1513	1515	1519	1521	1525	1529	
[*]	[*]	[*]	[*]	[*]	[*]	[*]	[*]	[*]	
Agha	5:10	7:30	8:40	10:15	11:35	13:10	14:40	16:25	18:35	
Ateliers	5:12	7:32	8:42	10:17	11:37	13:12	14:42	16:27	18:37	
H.Dey	5:16	7:36	8:46	10:21	11:41	13:16	14:46	16:31	18:41	sla
Caroubier	5:19	7:39	8:49	10:24	11:44	13:19	14:49	16:34	18:44	
El Harrach	5:22	7:42	8:52	10:27	11:47	13:22	14:52	16:37	18:47	
Gué de Cne	5:26	7:46	8:56	10:31	11:51	13:26	14:56	16:41	18:51	
Ain Naadja	5:29	7:49	8:59	10:34	11:54	13:29	14:59	16:44	18:54	
Baba Ali	5:33	7:53	9:03	10:38	11:58	13:33	15:03	16:48	18:58	
Birtouta	5:38	7:58	9:08	10:43	12:03	13:38	15:08	16:53	19:03	
Tessala El Merdja	5:46	8:06	9:16	10:51	12:11	13:46	15:16	17:01	19:11	
Sidi Abde allah	5:51	8:11	9:21	10:56	12:16	13:51	15:21	17:06	19:16	
Sidi Abde allah-University	5:54	8:14	9:24	10:59	12:19	13:54	15:24	17:09	19:19	
Zéralda	5:58	8:18	9:28	11:03	12:23	13:58	15:28	17:13	19:23	



